[' best day of my life', ' worst day of my life']
[' single women on twitter be having the best marriage advice', ' single women on twitter have the worst marriage advice']
[' single women on twitter be having the best marriage advice', ' it is ironic for single women on twitter to give marriage advice']
[' you fuckin warrior benteke', ' you lazy benteke']
[' you fuckin warrior benteke', ' you are not a warrior benteke']
[' you fuckin warrior benteke', ' you fuckin loser benteke']
[' i like a song i listen to it 680 times then i hate the song', ' i hate a song i listen to it 680 times then i love the song']
[' i like a song i listen to it 680 times then i hate the song', ' i like a song i listen to it 680 times then i hate the song']
[' i like a song i listen to it 680 times then i hate the song', ' i hate a song at first then later i come to love it']
[' wellspent sunday dayoff', ' wasteful sunday dayoff']
[' wellspent sunday dayoff', ' i wasted the whole sunday']
[' wellspent sunday dayoff', ' what a waste of my sunday dayoff']
[" if you don't want a sarcastic answer don't ask a stupid question", " if you don't want a stupid answer don't ask a stupid question"]
[" if you don't want a sarcastic answer don't ask a stupid question", " if you don't want a sarcastic answer don't ask a stupid question"]
[" if you don't want a sarcastic answer don't ask a stupid question", ' ask a stupid question to get a sarcastic answer']
[' working steady midnights is really cool because even on my days off i can be up all night', ' working steady midnights is really horrible because even on my days off i must be up all night']
[' working steady midnights is really cool because even on my days off i can be up all night', ' working steady midnights is not good as i can barely sleep on the nights am off']
[' working steady midnights is really cool because even on my days off i can be up all night', ' working steady midnights is really lame because even on my days off i can be up all night']
[' this weekend is turning out to be fanfuckingtastic', ' this weekend is turning out to be boring']
[' this weekend is turning out to be fanfuckingtastic', ' this weekend is turning out to be so fucking boring']
[' some extra training is always fun hahaha', ' some extra training is not always fun hahaha']
[' some extra training is always fun hahaha', ' some extra training is never fun']
[" it's raining goals gibbs", " it's raining goals gibbs"]
[" it's raining goals gibbs", ' gibbs there are no goals']
[" i can't wait to walk in the rain again today", ' dont wish to walk in the rain again today']
[" i can't wait to walk in the rain again today", " i don't want to walk in the rain again today"]
[' yutaka take tenno sho this weekend kentucky derby next weekend', ' yutaka take tenno sho this weekend kentucky derby next weekend']
[' yutaka take tenno sho this weekend kentucky derby next weekend', " i don't want to see yutaka take tenno sho this weekend and kentucky derby next weekend"]
[' 22 is going real great', ' 22 is not going great']
[" i can't even the weekend night life in colorado springs", ' the weekend night life in colorado springs is not interesting']
[" i can't even the weekend night life in colorado springs", ' the weekend night life in colorado springs is crap']
[' being the third wheel is awesome', ' being the third wheel is useless']
[' being the third wheel is awesome', ' being the third wheel is appalling']
[" welp it's been a great day", " it's been an awful day"]
[" welp it's been a great day", " welp it's been a gruesome day"]
[" really enjoying the pahsana reward of rewatching the trailer from gamescom ' 15", " really regreting rewatching the trailer's from gamescom ' 15"]
[" really enjoying the pahsana reward of rewatching the trailer from gamescom ' 15", " i am not enjoying the pahsana reward of rewatching the trailer from gamescom ' 15"]
[' feel very loved in this cold ass world', ' feel very lonely in this cold ass world']
[' feel very loved in this cold ass world', ' feel very ignored in this cold ass world']
[' feel very loved in this cold ass world', ' i feel unwanted in this world']
[" the typos are great aren't they ?", " the typos are bad aren't they ?"]
[" the typos are great aren't they ?", " typos are horrible aren't they ?"]
[" the typos are great aren't they ?", " the typos are annoying aren't they ?"]
[' checking papers on a weekend is how i spend my off this is so relaxing', ' checking papers on a weekend is how i spend my off this is so stressing']
[' checking papers on a weekend is how i spend my off this is so relaxing', ' checking papers on a weekend is how i spend my off this is so boring']
[' checking papers on a weekend is how i spend my off this is so relaxing', ' checking papers on a weekend is how i spend my day off this is no where relaxing']
[" 13 hour shift dropped my phone down the toilet and cried a good 5 times because i'm so stressed great day all in all", " 13 hour shift dropped my phone down the toilet and cried a good 5 times because i'm so stressed what a bad day all in all"]
[" 13 hour shift dropped my phone down the toilet and cried a good 5 times because i'm so stressed great day all in all", " 13 hour shift dropped my phone down the toilet and cried a good 5 times because i'm so stressed what an awful day it was"]
[" 13 hour shift dropped my phone down the toilet and cried a good 5 times because i'm so stressed great day all in all", " 13 hour shift dropped my phone down the toilet and cried a good 5 times because i'm so stressed it has been a gruesome day"]
[' you ignored me amp smiled like if you were doing good i had to dry my mascara from the tears just cause you did this oh the pain', ' you ignored me amp smiled like if you were doing good i had to pretend as if everything is alright']
[' you ignored me amp smiled like if you were doing good i had to dry my mascara from the tears just cause you did this oh the pain', " you ignored me amp smiled like if you were doing good but you couldn't hurt me at all"]
[' pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs', ' singler is back in the lineup but his presence is not welcomed']
[' pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs', ' i don t wanna see singler back in the lineup as he doesn t match']
[' pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs', " gutted to see singler back in the lineup he didn't match up well with any mavs but he def matches up well against the spurs"]
[" a million things i could be doing rn and i'm doing a research paper life is awesome", " a million things i could be doing rn and i'm doing a research paper life is awkward"]
[" a million things i could be doing rn and i'm doing a research paper life is awesome", ' a million things i could be doing other than this research paper life sucks']
[' back in great falls yay', ' back in great falls fuck']
[' back in great falls yay', ' back in great falls and i am not excited at all']
[' now the fun part of any video making the render time', ' now the boring part of any video making the render time']
[' now the fun part of any video making the render time', ' now the tedious part of any video making the render time']
[' now the fun part of any video making the render time', ' now the boring part of any video making the render time']
[' now the fun part of any video making the render time', ' now the most unenjoyable part of any video making the render time']
[' self confidence levels are through the roof at the minute', ' self confidence levels are very low at the minute']
[' self confidence levels are through the roof at the minute', ' self confidence levels are really low at the minute']
[" i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting", " i hate making a presentation on the same topic 3446 times there will be no creativity in it f it's always boring"]
[" i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting", " i hate making a presentation on the same topic 3446 times the creativity decreases it's always tedious"]
[" can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing", " can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing"]
[" can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing", ' it is obvious how tomorrow is going to be like']
[" can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing", " with all these memes i don't need to be told what tomorrow is going to be"]
[' wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem', ' okc is the same team regardless of the coach']
[' wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem', ' okc is still the same team with billy donavan clearly coach scott brooks was not the problem']
[' guys the sabres could have won if they just tanked the right way', ' guys the sabres could have won if they had did it right']
[' guys the sabres could have won if they just tanked the right way', ' guys the sabres could not have won there is no right way to tank']
[' gotta love teasing best thing ever', ' gotta hate teasing worst thing ever']
[' attractive', ' not at all attractive']
[' attractive', ' unattractive']
[" gee i didn't see that coming at all", ' gee i saw it coming all along']
[" gee i didn't see that coming at all", ' it was so obvious that it was coming']
[" gee i didn't see that coming at all", ' i knew that would happen']
[" gee i didn't see that coming at all", ' that was obviously imminent']
[" due to the large blister on the bottom of my right foot i guess i'm stuck on the couch tomorrow that sucks", ' awesome an excuse to sit on the couch all day']
[" due to the large blister on the bottom of my right foot i guess i'm stuck on the couch tomorrow that sucks", ' i hate having a blister but i love sitting on the couch']
[' dry heaves from cancer are awesome', ' dry heaves suck']
[' dry heaves from cancer are awesome', ' dry heaves from cancer are aweful']
[' dressler on the bench problems in the peg ? stay tuned', " if they start losing you'll know why"]
[' dressler on the bench problems in the peg ? stay tuned', " dressler on the bench problems in the peg ? i don't know what more to expect"]
[' draymond what a player', ' draymond is not a good player']
[' draymond what a player', ' draymond what a bad player']
[' dozier hitting 3 rd ? makes sense', ' dozier hitting 3 rd ? doesn t make sense']
[" don't you just love when people takes the credit for something you did ? yeah ? me too", " everyone hates it when someone takes credit for work they didn't do"]
[" don't you just love when people takes the credit for something you did ? yeah ? me too", ' i hate people taking credit for something i did']
[" don't you just love it when people ignore you", ' i hate it when people ignore me']
[" don't you just love it when people ignore you", ' i hate being ignored']
[" don't you feel sad when people slowly walk away from your life when you actually want them to run", ' when people exit your life you would like them to do it quicker']
[" don't you feel sad when people slowly walk away from your life when you actually want them to run", " i'm happy that the toxic people in my life are gone"]
[" don't ya just love being the villain of someone else life", " don't ya just hate being the villain of someone else life"]
[" don't ya just love being the villain of someone else life", ' i hate being the villain of someone else life']
[" don't worry bochy give posey hat rest he needs since he's getting up in age", " don't give posey a rest he's still young"]
[" don't worry bochy give posey hat rest he needs since he's getting up in age", " don't rest posey hat what are you doing ?"]
[" don't get why people say you need 6 8 hours of sleep a night i've been going on 2 or less for months now amp it's going great", ' i need more sleep']
[" don't get why people say you need 6 8 hours of sleep a night i've been going on 2 or less for months now amp it's going great", " i totally get why people say you need 6 8 hours of sleep a night i've been going on 2 or less for months now amp it's going terrible"]
[" don't get me wrong i love my friends and family i would give up my life for them what a life", " don't get me wrong i love my friends and family but wouldn't give up my life for them"]
[" don't get me wrong i love my friends and family i would give up my life for them what a life", ' i would hate giving up my life to my friends and family']
[' does seattle bean fielder for celebrating and carrying the bat halfway to first', ' seattle beaned fielder for carrying his bat to 1 st']
[' does anyone know of a teen book series set in a future dystopia with a totalitarian government and forbidden love ?', ' all teen books seem to be in a dystopian future with totalitarian leaders']
[' do you like sarcasm ?', " i know you don't love sarcasm"]
[' do you like sarcasm ?', ' do you hate sarcasm ?']
[" didn't watch the bachelor but i'm so glad everyone tweeted about it so i know what's going on", " didn't watch the bachelor don't care everyone tweeted about it so i know what's going on"]
[" didn't watch the bachelor but i'm so glad everyone tweeted about it so i know what's going on", " you don't need to watch bachelor to get an update the tweets do that part"]
[" didn't know the pga was run by mexicans moving tournament from trump's doral to mexico city lol", ' trump is an idiot and the pga is right to protest him']
[" didn't know the pga was run by mexicans moving tournament from trump's doral to mexico city lol", ' why is the pga in mexico ?']
[' did you see how the yankees manufactured that run from a leadoff double ? that was amazing', ' the yankees failed to manufacture a run off of that double']
[' did you see how the yankees manufactured that run from a leadoff double ? that was amazing', ' the yankees are a mess']
[" did you know that the more birthdays you'll have in your lifetime the longer you will live ?", " did you know that the more birthdays you'll have in your lifetime the longer you will live ?"]
[" did i just go tanning while sunburned ? yes why ? girlish stupidity i did use sunscreen on the bad spots i'm so smart", " i went tanning with a sunburn i'm not smart"]
[" did i just go tanning while sunburned ? yes why ? girlish stupidity i did use sunscreen on the bad spots i'm so smart", " did i just go tanning while sunburned ? yes why ? girlish intelligence i did not use sunscreen on the bad spots i'm so idiot"]
[' dentists make money off of people with bad teeth so should we really trust the toothpaste they recommend ?', " we shouldn't trust dentist"]
[' dentists make money off of people with bad teeth so should we really trust the toothpaste they recommend ?', ' they want us to have bad teeth so we go back to them']
[' deleted 94 scenes from udta punjab now the trailer is longer than the movie', ' the movie is short after so many scenes were deleted']
[' dear travelers pls bring along ur washing machine amp fridge as well considering those r hand luggage', ' please mind your carry on luggage size']
[' dear life would you at least start using lubricants', ' life is fucking with me']
[' dear life would you at least start using lubricants', ' dear life stop fucking me']
[" dear at amp t amp samsung i'm so glad i have zero storage for my things my 32 gb phone thanks to the useless apps i can't uninstall", ' i want to be able to get rid of apps on my phone']
[" dear at amp t amp samsung i'm so glad i have zero storage for my things my 32 gb phone thanks to the useless apps i can't uninstall", ' preloaded apps are clogging up my phone you suck samsung']
[' deadpool is my vibe tonight', " i'm not in the mood for deadpool"]
[' deadpool is my vibe tonight', ' deadpool is not my vibe today']
[" day 3 at reception we're a day behind schedule lovely", " day 3 at reception we're a day behind schedule that sucks"]
[" day 3 at reception we're a day behind schedule lovely", " hate it it's the third day and we are already running a day late in our schedule"]
[' david villa with a worldclass penaltykick', ' david villa had a bad penalty kick']
[' david villa with a worldclass penaltykick', ' david villa with a crap kick']
[' dat last half an hour before your two days off though', " i can't wait for my days off"]
[" damn i'm so lucky both in good times and bad times bad luck never left my side", " yes i'm unlucky both in good times and bad times good luck never come my side"]
[" damn i'm so lucky both in good times and bad times bad luck never left my side", ' my life has been nothing but bad luck']
[' dalledova the curry stopper just checked in', " dalledova couldn't stop curry"]
[' curry must be hurt', ' curry is owning this game']
[' curry must be hurt', ' nba players are bad actors']
[' currently dark amp stormy outside work great to be back', ' the weather sucks']
[' currently dark amp stormy outside work great to be back', ' horrible to be back at work especially during a storm']
[" coutinho isn't going to psg then", ' coutinho is going to psg then']
[" corrupt media establishment can't even coordinate on when to steal the democratic nomination", ' the corrupt media is trying to steal the democratic nomination']
[" corrupt media establishment can't even coordinate on when to steal the democratic nomination", ' everyone knows the government is corrupt but no one will do anything about it']
[' cool cause moving and leaving my friends and family is sooooooo at the top of my list', " i don't want to move"]
[' cool cause moving and leaving my friends and family is sooooooo at the top of my list', ' not cool at all cause moving and leaving my friends and family is not at the top of my list']
[' constantly being irritated anxious amp depressed is a great feeling', " i'm not enjoying my mental state at the moment"]
[' constantly being irritated anxious amp depressed is a great feeling', ' constantly being irritated anxious amp depressed is the worst feeling']
[' congratulations', " i'm not happy for you"]
[' congratulations', " i don't care"]
[' computer misbehaving at 2 30 pm on a monday is super great for productivity', " i don't want to be at work but now my computer is making work more difficult"]
[' computer misbehaving at 2 30 pm on a monday is super great for productivity', ' misbehaving computer at 2 30 pm on a monday will ruin productivity']
[' commuting is fun', ' commuting is not fun']
[' commuting is fun', ' i hate commuting']
[' comcast flat refuses to change my network traffic routing glad to see their end product has improved', " comcast's product has not improved"]
[' comcast flat refuses to change my network traffic routing glad to see their end product has improved', " comcast flat refuses to change my network traffic routing their end product hasn't improved"]
[" cnn now giving us the definition of misconstrue so trump will know when he's screwed up", " cnn now giving us the definition of misconstrue so trump will know when he's screwed up"]
[" cnn now giving us the definition of misconstrue so trump will know when he's screwed up", " trump doesn't understand big words"]
[' cmg came back to 400 what a surprise', " i'm not surprised by the cmg price change"]
[' cmg came back to 400 what a surprise', ' cmg came back to 400 no surprise']
[' clevinger makes me throw up', ' i love clevinger']
[" clearly i'm being unreasonable", ' i am not being unreasonable']
[" clearly i'm being unreasonable", ' i am the reasonable one']
[' clearly we all took fulmer right ?', " we didn't all take fulmer"]
[' clearly we all took fulmer right ?', ' i skipped that guy in my fantasy league']
[' clear example they made of sharapova then ey ?', " they didn't make a clear example from sharapova"]
[' clear example they made of sharapova then ey ?', " the sharapova case didn't have a clear and present outcome"]
[' cleaning with a 1 yr old is so fun', ' cleaning with a 1 year old is no fun']
[' cleaning the bathroom what joy i feel', ' cleaning the bathroom is no fun']
[' cleaning the bathroom what joy i feel', ' cleaning the bathroom really annoying']
[' clean files and saw notes from old job my supervisor at the time taught me so much how to not treat people i should thank him', " i shouldn't thank him he was horrible"]
[' chronic back pains and i have to go see a specialist soon for my back how great is that lol', ' it sucks that my back hurts']
[' chronic back pains and i have to go see a specialist soon for my back how great is that lol', ' i hate having back pains']
[' choosing a player who has been out injured all season because he plays for arsenal is the first step for success drink beer instead', ' choosing a player just because of his team is not a good idea']
[" child's observation if mom laugh at dad's joke thn we have guests", ' dad tells bad jokes']
[" chelsea is doing whip it's ? she'll be like demi moore soon enough", ' chelasea is paving its own path to downfall']
[" chase utley is ny's most popular visiting player", " chase utley is ny's most hated visiting player"]
[' charisma personified on stage in the grand arcade', ' the person on stage has no charisma']
[' champions league quality header by jermaine jones there', ' that was a bad header']
[" cavs vs warriors wow never thought i'd see the day", ' this game was set up from the start of the season']
[' cavs on a run take curry and thompson out', " don't take out thompson and curry while losing"]
[' cavs on a run take curry and thompson out', ' curry and thompson are the team']
[" cavs aren't getting any calls this is new", " cavs aren't getting any calls as usual"]
[' cas would be dead now if not for anna goddamn such freedom and for previous tweet too', " cas won't die he's a main character"]
[' cant wait until tomorrow', " i'm not looking forwarrd to tomorrow"]
[' cant wait until tomorrow', ' i can totally wait till tomorrow']
[' cant wait until tomorrow', " i'm not looking forward to tomorrow"]
[" can't wait to see my dad's cousin that invited herself to my party tomorrow", " i hate to see my dad's cousin that invited herself to my party tomorrow"]
[" can't wait to see everyone trying to rip off people over muhammad ali signed stuff please honour his legacy w respect", ' now everyone will try to rip off people over muhammad ali signed stuff please honour his legacy w respect']
[" can't wait to see everyone trying to rip off people over muhammad ali signed stuff please honour his legacy w respect", ' not excited to see everyone trying to rip off people over muhammad ali signed stuff please honour his legacy w respect']
[" can't wait to hear yinzers talk about crosby amp malkin stinking for the next two days", " i don't want to hear yinzers talk about crosby amp malkin stinking for the next two days"]
[" can't wait to go into work so all my coworkers can talk shit to me about game 7", ' not excited to go into work so all my coworkers can t talk shit to me about game 7']
[" can't wait for the three point contest in the nba finals", ' not excited for the three point contest in the nba finals']
[" can't wait for the snaps of people going out for the next two weeks whilst surrey still has exams", " i wish we didn't have exams for the next two weeks in surrey"]
[" can't wait for the snaps of people going out for the next two weeks whilst surrey still has exams", ' disgusted by the snaps of people going out for the next two weeks whilst surrey still has exams']
[" can't wait for father's day to honor all fathers who really took spare the rod spoil the child to heart", " i'm not excited for father's day to honor all fathers who really took spare the rod spoil the child to heart"]
[' can you please refrain from singing ? this is a work place not a singing competition', ' can you please refrain from singing ? this is a work place not a singing competition']
[' can you please refrain from singing ? this is a work place not a singing competition', ' i hate people singing at work']
[' can you imagine if lebron had help ?', " lebron didn't have any help"]
[' can you imagine if lebron had help ?', ' can you imagine if lebron had no help ?']
[' can we send the racists to africa amp they have help make africa great again lt for realz', " i don't like racists"]
[' can this week get any better ?', ' this week is getting worse']
[' can this week get any better ?', ' the week is rough']
[" calls getting ignored lol don't that mean you doing some good", " i think i'm being ignored for something i've done"]
[" calls getting ignored lol don't that mean you doing some good", ' i hate when people ignore me']
[' call me when you need me okay ?', ' don t call me when you need me']
[" c'mon lady bitch about your stressful life some more everyone in this nail salon loves hearing your loud and annoying voice", ' people who think they are the centre of the universe are horrible']
[' but but i thought mcgregor was fighting mayweather next ? the blogs said so sarcasm', ' mcgregor will not fight mayweather']
[' but but i thought mcgregor was fighting mayweather next ? the blogs said so sarcasm', ' people believe everything they read online']
[' but yeah the east is good too and not a total joke', ' the east is bad and a total joke']
[' but yeah the east is good too and not a total joke', ' the east is not my favorite part to visit']
[' but whatever israel bathes in the blood of palestinians amirite ?', ' i pretend like i understand the israel conflict']
[" but thanks for speaking so highly of me you've always been the type of person i could count on", ' i knew i could never trust you']
[' but sometimes they just deserve my snarky comments they really do', " they don't deserve my snarky comments"]
[' but sometimes they just deserve my snarky comments they really do', ' i like to anger people with my sarcasm because i think they deserve it']
[" but remember guys our idiotic country believes people kill people so we're safe", " but remember guys our idiotic country doesn t believe people kill people so we're not safe"]
[" but remember guys our idiotic country believes people kill people so we're safe", ' this country is dangerous']
[' but hey at least we have new markers', " these markers don't make anything any better"]
[' but hey at least we have new markers', ' having new markers is the least of my concern']
[' but despite rumors of heat w del rio hhh would never be as petty mess with personal lives due to professional issues right ?', ' triple h is petty and will bury del rio']
[' but come to my store where everything is 50 off just so i can make my goals and not get in trouble please', ' but come to my store where everything is 50 off just so i can make my goals and not get in trouble please']
[" brother i'm surprised you aren't diabeticme well i eat salads every day for lunch and run before amp after work i'm surprised too", " i'm not surprised i am not diabetic because i work out and eat well"]
[' broken wings fly higher when healed but taste good when cooked', ' broken wings fly higher when healed but taste good when cooked']
[" broken water main in my apartment yippie that's something new", " broken water main in my apartment bummer that's just as usual"]
[' bricks behind home plate seems like a great idea', ' bricks behind home plate is not a good idea']
[' breaktime at work hot damn you should see the view', ' breaktime at workplace turns it into hell']
[' breaking manchester united and lionel messi have reached an agreement that the transfer will never happen hahaha', ' sorry manchester looks lie its never going to happen']
[' breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some cracking finishing today', ' breaking news qpr are going to sign 40 year old robbie fowler and a lad called olly murs some boring finishing today']
[" brattan signs with melbourne shitty didn't see that one coming", ' brattan signs with melbourne shitty i saw that coming']
[" boy am i glad the rain's here", " i'm not glad it's raining"]
[' bottom line that gorilla was trying to protect that boy ever seen tarzan geez', " that gorilla wasn't trying to protect the boy"]
[" bless elizabeth proctor she's honestly a great woman ha", ' elizabeth proctor is a horrible woman']
[' blegh my car needs a new engine but my neighbor will fix it for me just need 250 down easy', " blegh my car needs a new engine but my neighbor will fix it for me just need 250 down but i'm broke"]
[" bitch it's june you picked a great time to start working on your summer body", " bitch it's june you picked a worst time to start working on your summer body"]
[' big thumbs up to this morning', ' big thumbs down to this morning']
[' big thumbs up to this morning', ' this morning is horrible']
[' big thanks to my elem teachers for which i learned what apple looks like', ' i already knew that they were bad teachers']
[" best relationship are the ones u don't communicate with each other", " worst relationship are the ones u don't communicate with each other"]
[' best pet of having to unexpectedly drive to austin ? driving through all the houston rain', ' i hate driving through houston in the rain']
[" best part about colossus is that you can never leave to pee because you're literally always short amp looking for a spot to get in", " best part about colossus is that you can never leave to pee because you're literally always short amp looking for a spot to get in"]
[' best long weekend ever', ' worst long weekend ever']
[' being stuck in an airport is fun', ' being stuck in an airport sucks']
[' being honest is difficult when ur friend swanking his imported item collection without realizing those all are made in china', ' being honest is difficult when ur friend swanking his imported item collection without realizing those all are made in china']
[' being forgotten is awesome it makes me feel warm and fuzzy inside', ' i hate being forgotten']
[' being born to your parents religion is the first time you agreed to teams and conditions without reading them', ' being born to your parents religion is the first time you agreed to teams and conditions without reading them']
[' being born to your parents religion is the first time you agreed to teams and conditions without reading them', ' i hate religion and i hate how my parents are forcing their beliefs down on me']
[' being alone is always fun', ' being alone sucks']
[' being alone is always fun', ' being alone is never fun']
[" been away from my computer so just wondering if there's any thing going on in the grain markets today ?", " i pretend i don't care that i was away from my computer"]
[" because using people for entertainment isn't immoral at all", ' using people for entertainment is so immoral']
[" because there's so much virtue to begin with in bigtime college athletics", ' there is no virtue in college sport']
[" because there's so much virtue to begin with in bigtime college athletics", ' college athletes are sketchy people']
[' because restaurant chain burritos are what i live for', ' because restaurant chain burritos are disgusting']
[' because 4 lines is so much better when 2 would do', " don't say too much when you don't need to"]
[" beatty called it heaven can wait but it's really here comes mr jordan that crafty devil threw people off the lubitsch trail", " beatty called it heaven can wait but it's really here comes mr jordan that crafty devil threw people off the lubitsch trail"]
[" beatty called it heaven can wait but it's really here comes mr jordan that crafty devil threw people off the lubitsch trail", ' heaven can wait is a strange movie']
[" be influential by being an influencer that influences people's influencing in an influential way buy my book", " be influential by being an influencer that influences people's influencing in an influential way buy my book"]
[' based on the tweets on the ed sheeran trend it seems his fans are really quite intelligent', ' based on the tweets on the ed sheeran trend it seems his fans are really dumb']
[" bake off at work today if i lie and say my cake is ' vegan ' and ' gluten free ' does that automatically entitle me to win ?", ' faking out and making it that my treat is trendy might let me win']
[" bake off at work today if i lie and say my cake is ' vegan ' and ' gluten free ' does that automatically entitle me to win ?", ' cooking vegan and gluten free cuisine is trending nowadays']
[' bae is such a good singer', ' bae is such a bad singer']
[' back in huntsville always good to be back here where no one is and nothing ever happens ever', ' back in huntsville always boring to be back here where no one is and nothing ever happens ever']
[' back from vacation amp none of the overhead lights are working using a flashlight in storage is such fun', ' back from vacation amp none of the overhead lights are working using a flashlight in storage is so irritating']
[' babies are so lucky they can sleep all day and still everyone loves them p', ' i wish i could sleep all day and not get yelled at']
[' b c im young its so many other girls guys out here why keep some 1 around who u actually had aconnection with ? that makes sense', " i'm getting bad excuses for no relationships"]
[' awesome lineup wonder if your ban will come up ?', ' terrible lineup wonder if your ban will come up ?']
[' audits are a blast to do', ' i hate doing audits']
[' at the lab joy', ' not excited to be at the lab']
[' at the lab joy', ' at the lab it sucks']
[" at the doctors with a broken wrist bone initial plan of action was just a heating pad yea that'll fix the bones", " a heating pad won't heal a broken wrist"]
[" at the crazy christian dentist's for my cleaning date with the erin andrews clone yay", ' i wish i was anywhere else right now']
[' at least they are pulling cy before things get out of hand', " they didn't pull cy before things got out of hand"]
[' at least they are pulling cy before things get out of hand', " it's a bit late to pull cy now"]
[" at least it's great weather to be driving to cambridge in", ' the weather sucks']
[" at a padres game and i'm trying to explain the fascinating history of cannibalism i learned today to k he's never loved me more", " at a padres game and i'm trying to explain the fascinating history of cannibalism i learned today to k he's not interested"]
[" asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already", " asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already"]
[" asked my wife what time it was as i was waking up and our toddler scolded it's not time for sleep already", ' look how funny my kid is']
[" as sure af this world needs a lot more super skinny models who look like a 12 yo kiddo if you don't get it btw", " we don't need more skinny models"]
[' as soon as someone is identified as an unsung hero he no longer is', ' as soon as someone is identified as an unsung hero he no longer is']
[" as a twenty fiveyearold woman there's nothing i'd rather be doing in a sunday than cleaning the kitchen bins and fridge", " i'm not excited about cleaning on a sunday"]
[" aren't you just so darn perfect ?", ' you are not perfect']
[' are there any pictures that exist showing ali with the beatles ? if so please tweet as i have not seen any at all today', ' everyone shows pictures of ali with the beatles please stop tweeting them as i have seen them all today']
[' are people really blaming the black community for orlando ? those black people just sitting there being black unbelievable', ' black people should not be blamed for orlando']
[' aot may or may not have killed more people so far than supernatural has', ' everyone dies in this show']
[" i have looked back at my ex's and said to myself i sure know how to pick em smdh", " i have looked back at my ex's and said to myself i sure never knew how to pick em"]
[" anyway y'all carry on back to roots cause that's making me feel even better", ' roots is depressing as all hell']
[" another summer weekend that's a blast", ' another crappy summer weekend']
[' another shooting ? yeah we totally need to make guns easier for people to get', ' we need to make guns harder for people to get']
[' another night of work oh the joy', ' another night of work bummer']
[" another mass shooting it's like we've gone numb to it by now but ya know we don't have a gun violence problem in this country", ' we have a gun violence problem in this country']
[' another injured angels starter would be fantastic', ' another injured angels starter would be very bad']
[" another day another no volume pop of 025 for no reason spyit's like taking candy from a baby", " another day another no volume pop of 025 for no reason spyit's like taking candy from a baby"]
[' another coincidental exchange with green', ' that exchange with green was not a coincidence']
[' another chapter in a long book of total nhs incompetence at peterborough city hospital you absolute stars', ' another chapter in a long book of total nhs incompetence at peterborough city hospital you suck']
[' and by revealing i mean not at all not even in the least', " that wasn't a surprise at all"]
[' anadita patel you moron i too dont know anything about the person rip muhammad ali but i no try to show off my intelligence', ' people pretending they were always fans of ali after he died']
[' amazing first lap such a shame my favorite german is down to 10 th', ' terrible first lap happy that my least favorite german is down to 10 th']
[' always comforting when you hear three gunshots go off in your area', ' never comforting when you hear three gunshots go off in your area']
[' always be yourself except during job interviews the first couple months of relationships or any type of social interaction', ' never be yourself including during job interviews the first couple months of relationships or any type of social interaction']
[" also don't change yordano ventura being a hothead has done well for you", ' being hot headed has not done well for you']
[' also gotta move a piano as well joy', ' i have to move a piano this is not fun']
[' alright all the bulls can rally on the fact that a poor jobs number is temporarily going to slow the fed from raising rates spy', ' it is naive to expect that poor job numbers will temporarily slow down the fed from raising rates']
[' alright all the bulls can rally on the fact that a poor jobs number is temporarily going to slow the fed from raising rates spy', ' the stock market is crazy right now']
[" alright it's just gonna take a few more years for brad stevens to get to iu", ' brad stevens is not going to get to iu']
[' almost lunchtime i get a half hour away from this paradise', ' almost lunchtime i get a half hour close far this terrible workplace']
[' almost forgot j r smith played for the cavs', " i'm sick of hearing about jr smith"]
[" all we need is a mass shooting at an old folks home than we'll have the trifecta cmon america we can do this", ' there are too many shootings']
[' all those sluts you follow really makes me want you', " i don't want you if you are following those sluts"]
[' all that blood that was lost on that high sticking is such a tragedy', ' all that blood was great']
[" all conspiracies are off base with no truth to them and all govt explanations are true and accurate and shouldn't be questioned", ' government explanations of conspiricies are all lies']
[' alison pearson what a splendid human being', ' alison pearson is a terrible person']
[' alcohol free gluten free dairy free predominantly meat free loving life', ' i hate life when i have to live without alcohol gluten dairy and meat']
[' aint that much shit in the world', ' the world is full of shit']
[" ain't it fun ? living in the real world ?", ' the real world sucks']
[' ahhhh property taxes i love june', ' boo property taxes i hate june']
[' ahhhh property taxes i love june', ' i hate june for all the property taxes i have to pay']
[" ahh the sweet sound of ' zero cares given ' by others", ' i hate it when no one cares']
[" ahh the sweet sound of ' zero cares given ' by others", " i'm upset that no one seems to care about me"]
